epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08519,1.33611,2.86921,1.64364,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,8.46171,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64595,1.06034,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,11.9224,1.1601,3.63341,1.57315,0.55956,0.85,0.85083,0.61618,1.66648,1.0611,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,15.2718,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.66034,1.05357,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,18.4097,1.37198,3.08503,1.72634,0.56511,0.85,0.85526,0.63771,1.6585,1.04085,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,21.7224,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68524,1.05847,1.37761,5.65548e-06,5.65548e-06,5.65548e-06
7,24.9253,1.13976,1.91306,1.41952,0.53944,0.85173,0.89406,0.64255,1.68389,1.05926,1.37699,6.71588e-06,6.71588e-06,6.71588e-06
8,28.1249,1.37612,4.01879,1.61443,0.55029,0.85949,0.85911,0.61257,1.64325,1.0573,1.3529,7.75273e-06,7.75273e-06,7.75273e-06
9,31.4343,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.66472,1.05931,1.36335,8.76602e-06,8.76602e-06,8.76602e-06
10,35.1544,1.18655,3.44731,1.59516,0.57996,0.86406,0.81417,0.59502,1.65655,1.0565,1.35665,9.75574e-06,9.75574e-06,9.75574e-06
11,39.4913,1.20761,2.4692,1.45278,0.59064,0.8637,0.85595,0.61995,1.6537,1.06313,1.35595,1.07219e-05,1.07219e-05,1.07219e-05
12,43.1676,0.9914,2.00612,1.36598,0.58566,0.86399,0.85561,0.62083,1.66274,1.07365,1.36357,1.16645e-05,1.16645e-05,1.16645e-05
13,46.8957,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64957,1.07339,1.35354,1.25835e-05,1.25835e-05,1.25835e-05
14,50.7897,1.0832,2.18871,1.4836,0.59793,0.86667,0.88803,0.62731,1.65287,1.09392,1.35796,1.3479e-05,1.3479e-05,1.3479e-05
15,55.39,0.92887,1.64808,1.12293,0.60723,0.86667,0.88802,0.62731,1.65194,1.10151,1.35906,1.43509e-05,1.43509e-05,1.43509e-05
16,59.0302,1.22336,2.48055,1.62356,0.61055,0.86667,0.87512,0.62676,1.66355,1.12302,1.36866,1.51993e-05,1.51993e-05,1.51993e-05
17,62.3702,0.84439,1.78458,1.19115,0.62052,0.7,0.87291,0.62795,1.66267,1.13338,1.37159,1.60241e-05,1.60241e-05,1.60241e-05
18,65.7935,1.1567,1.55192,1.36044,0.62052,0.7,0.87291,0.62795,1.66267,1.13338,1.37159,1.68253e-05,1.68253e-05,1.68253e-05
19,69.8916,0.97843,1.90563,1.1355,0.77483,0.65,0.86188,0.61114,1.66974,1.17699,1.38058,1.7603e-05,1.7603e-05,1.7603e-05
20,74.3696,0.89711,1.53574,1.21097,0.77483,0.65,0.86188,0.61114,1.66974,1.17699,1.38058,1.83571e-05,1.83571e-05,1.83571e-05
21,78.1485,1.29223,2.49851,1.71343,0.7712,0.65,0.85531,0.6099,1.68239,1.21228,1.38742,1.90876e-05,1.90876e-05,1.90876e-05
22,81.5664,1.08325,2.33907,1.51913,0.7712,0.65,0.85531,0.6099,1.68239,1.21228,1.38742,1.97946e-05,1.97946e-05,1.97946e-05
23,85.787,1.05868,1.82063,1.47226,0.74589,0.65,0.85514,0.6192,1.6814,1.23201,1.38513,2.0478e-05,2.0478e-05,2.0478e-05
24,89.343,1.12424,2.21395,1.54038,0.74589,0.65,0.85514,0.6192,1.6814,1.23201,1.38513,2.11379e-05,2.11379e-05,2.11379e-05
25,92.8775,0.83464,1.46993,1.21033,0.71049,0.65473,0.85534,0.61104,1.68178,1.27399,1.38484,2.17741e-05,2.17741e-05,2.17741e-05
26,96.3391,1.15282,1.85951,1.45065,0.71049,0.65473,0.85534,0.61104,1.68178,1.27399,1.38484,2.23869e-05,2.23869e-05,2.23869e-05
27,99.663,0.91843,1.67099,1.39784,0.70426,0.66896,0.85545,0.61336,1.70264,1.30263,1.39971,2.2976e-05,2.2976e-05,2.2976e-05
28,104.164,0.80106,1.24172,1.14049,0.70426,0.66896,0.85545,0.61336,1.70264,1.30263,1.39971,2.35417e-05,2.35417e-05,2.35417e-05
29,109.417,0.99737,1.52716,1.27177,0.70067,0.67247,0.85551,0.61082,1.67142,1.30985,1.37934,2.40837e-05,2.40837e-05,2.40837e-05
30,113.299,1.26562,2.34976,1.59811,0.70067,0.67247,0.85551,0.61082,1.67142,1.30985,1.37934,2.46022e-05,2.46022e-05,2.46022e-05
31,117.162,0.97959,1.43339,1.29407,0.69189,0.66667,0.85204,0.60885,1.68178,1.34659,1.3852,2.50971e-05,2.50971e-05,2.50971e-05
32,121.113,0.81021,1.26023,1.21403,0.69189,0.66667,0.85204,0.60885,1.68178,1.34659,1.3852,2.55685e-05,2.55685e-05,2.55685e-05
33,124.856,0.78165,1.31855,1.34265,0.67239,0.68914,0.85241,0.60751,1.66729,1.37796,1.38128,2.60163e-05,2.60163e-05,2.60163e-05
34,128.589,1.05737,1.25159,1.31046,0.67239,0.68914,0.85241,0.60751,1.66729,1.37796,1.38128,2.64405e-05,2.64405e-05,2.64405e-05
35,132.375,0.88716,2.1652,1.30328,0.66429,0.7,0.85262,0.59109,1.68221,1.41242,1.38939,2.68412e-05,2.68412e-05,2.68412e-05
36,136.076,0.96214,1.47733,1.2011,0.66429,0.7,0.85262,0.59109,1.68221,1.41242,1.38939,2.72183e-05,2.72183e-05,2.72183e-05
37,139.514,0.78396,1.11457,1.17303,0.64699,0.7,0.8524,0.5836,1.65046,1.44787,1.37157,2.75718e-05,2.75718e-05,2.75718e-05
38,142.799,0.45785,0.7034,0.96922,0.64699,0.7,0.8524,0.5836,1.65046,1.44787,1.37157,2.79018e-05,2.79018e-05,2.79018e-05
39,146.197,0.64687,0.93531,1.02051,0.6739,0.69073,0.85257,0.56179,1.626,1.47944,1.36622,2.82082e-05,2.82082e-05,2.82082e-05
40,149.419,0.80202,0.83735,1.16671,0.6739,0.69073,0.85257,0.56179,1.626,1.47944,1.36622,2.84911e-05,2.84911e-05,2.84911e-05
41,152.77,0.75766,0.92574,1.06113,0.68206,0.66551,0.76929,0.48791,1.59612,1.48969,1.35811,2.87504e-05,2.87504e-05,2.87504e-05
42,156.107,0.88013,1.88273,1.27733,0.68206,0.66551,0.76929,0.48791,1.59612,1.48969,1.35811,2.89861e-05,2.89861e-05,2.89861e-05
43,159.373,0.84657,1.22151,1.22837,0.67828,0.65,0.76238,0.47306,1.62283,1.5291,1.38597,2.91983e-05,2.91983e-05,2.91983e-05
44,162.599,1.07498,0.98521,1.45131,0.67828,0.65,0.76238,0.47306,1.62283,1.5291,1.38597,2.93869e-05,2.93869e-05,2.93869e-05
45,165.915,0.61281,0.925,0.99461,0.69173,0.65,0.76251,0.47229,1.61125,1.54557,1.38248,2.9552e-05,2.9552e-05,2.9552e-05
46,169.125,0.81881,0.99707,1.26845,0.69173,0.65,0.76251,0.47229,1.61125,1.54557,1.38248,2.96935e-05,2.96935e-05,2.96935e-05
47,172.46,0.88525,1.46225,1.36112,0.7361,0.65,0.7323,0.43907,1.62391,1.60176,1.38853,2.98114e-05,2.98114e-05,2.98114e-05
48,175.588,0.78689,1.63258,1.17201,0.7361,0.65,0.7323,0.43907,1.62391,1.60176,1.38853,2.99058e-05,2.99058e-05,2.99058e-05
49,179.073,0.67314,0.72236,1.2456,0.68327,0.65154,0.70529,0.41424,1.62539,1.62174,1.38959,2.99766e-05,2.99766e-05,2.99766e-05
50,182.386,0.80279,0.81111,1.29451,0.68327,0.65154,0.70529,0.41424,1.62539,1.62174,1.38959,3.00238e-05,3.00238e-05,3.00238e-05
51,185.638,0.85914,0.83735,1.15607,0.6565,0.67663,0.69629,0.40609,1.59375,1.63416,1.38247,3.00475e-05,3.00475e-05,3.00475e-05
52,188.85,0.97422,0.96743,1.34769,0.6565,0.67663,0.69629,0.40609,1.59375,1.63416,1.38247,3.00476e-05,3.00476e-05,3.00476e-05
53,191.96,0.64638,0.70016,1.17844,0.6565,0.67663,0.69629,0.40609,1.59375,1.63416,1.38247,3.00242e-05,3.00242e-05,3.00242e-05
54,195.521,0.78507,0.90204,1.23277,0.69057,0.67147,0.69636,0.4082,1.57891,1.67503,1.38299,2.99772e-05,2.99772e-05,2.99772e-05
55,198.724,0.80049,0.95204,1.1211,0.69057,0.67147,0.69636,0.4082,1.57891,1.67503,1.38299,2.99066e-05,2.99066e-05,2.99066e-05
56,201.863,1.09843,1.44505,1.58742,0.69057,0.67147,0.69636,0.4082,1.57891,1.67503,1.38299,2.98125e-05,2.98125e-05,2.98125e-05
57,205.212,0.94353,1.50035,1.37401,0.72289,0.50346,0.69284,0.40375,1.58651,1.70671,1.39282,2.96948e-05,2.96948e-05,2.96948e-05
58,208.792,0.86468,1.45449,1.26648,0.72289,0.50346,0.69284,0.40375,1.58651,1.70671,1.39282,2.95535e-05,2.95535e-05,2.95535e-05
59,212.506,0.78138,0.82755,1.15371,0.72289,0.50346,0.69284,0.40375,1.58651,1.70671,1.39282,2.93887e-05,2.93887e-05,2.93887e-05
60,217.259,0.99671,0.77716,1.54572,0.85564,0.48108,0.67795,0.37421,1.61203,1.77445,1.4096,2.92003e-05,2.92003e-05,2.92003e-05
61,220.631,0.63483,0.68082,1.06328,0.85564,0.48108,0.67795,0.37421,1.61203,1.77445,1.4096,2.89884e-05,2.89884e-05,2.89884e-05
62,224.476,0.70044,0.89362,1.04552,0.85564,0.48108,0.67795,0.37421,1.61203,1.77445,1.4096,2.87529e-05,2.87529e-05,2.87529e-05
63,227.809,0.7691,0.82334,1.1536,0.85533,0.47846,0.67726,0.37372,1.64341,1.85484,1.42692,2.84938e-05,2.84938e-05,2.84938e-05
64,231.656,0.62618,0.65291,1.06695,0.85533,0.47846,0.67726,0.37372,1.64341,1.85484,1.42692,2.82112e-05,2.82112e-05,2.82112e-05
65,235.163,0.66115,0.68238,1.21625,0.85533,0.47846,0.67726,0.37372,1.64341,1.85484,1.42692,2.7905e-05,2.7905e-05,2.7905e-05
66,238.732,0.6845,0.91624,1.08126,0.85204,0.47745,0.67714,0.37589,1.70775,1.91205,1.44848,2.75753e-05,2.75753e-05,2.75753e-05
67,242.516,0.7365,1.10898,1.10175,0.85204,0.47745,0.67714,0.37589,1.70775,1.91205,1.44848,2.7222e-05,2.7222e-05,2.7222e-05
68,246.21,1.04234,1.77302,1.4054,0.85204,0.47745,0.67714,0.37589,1.70775,1.91205,1.44848,2.68451e-05,2.68451e-05,2.68451e-05
69,250.024,0.64235,1.09566,1.12534,0.84152,0.48636,0.56788,0.28283,1.65605,1.95291,1.42122,2.64447e-05,2.64447e-05,2.64447e-05
70,253.319,0.97698,0.86582,1.42902,0.84152,0.48636,0.56788,0.28283,1.65605,1.95291,1.42122,2.60207e-05,2.60207e-05,2.60207e-05
71,257.333,0.94791,1.28785,1.31587,0.84152,0.48636,0.56788,0.28283,1.65605,1.95291,1.42122,2.55731e-05,2.55731e-05,2.55731e-05
72,260.908,0.59371,0.63765,1.07461,0.84044,0.48538,0.54131,0.27388,1.72563,2.00185,1.446,2.5102e-05,2.5102e-05,2.5102e-05
73,264.429,0.68673,0.90517,1.0438,0.84044,0.48538,0.54131,0.27388,1.72563,2.00185,1.446,2.46073e-05,2.46073e-05,2.46073e-05
74,268.453,0.72436,0.59343,1.21948,0.84044,0.48538,0.54131,0.27388,1.72563,2.00185,1.446,2.40891e-05,2.40891e-05,2.40891e-05
75,272.145,0.72626,0.55228,1.13817,0.84033,0.48256,0.54717,0.26849,1.77727,1.99571,1.46622,2.35472e-05,2.35472e-05,2.35472e-05
76,275.304,0.63396,0.73318,1.12754,0.84033,0.48256,0.54717,0.26849,1.77727,1.99571,1.46622,2.29819e-05,2.29819e-05,2.29819e-05
77,278.546,0.68033,0.65826,1.11153,0.84033,0.48256,0.54717,0.26849,1.77727,1.99571,1.46622,2.23929e-05,2.23929e-05,2.23929e-05
78,281.922,0.87311,1.00232,1.18418,0.83375,0.48807,0.54418,0.26804,1.74154,2.01482,1.45005,2.17805e-05,2.17805e-05,2.17805e-05
79,285.207,0.58775,0.74744,1.08319,0.83375,0.48807,0.54418,0.26804,1.74154,2.01482,1.45005,2.11444e-05,2.11444e-05,2.11444e-05
80,288.55,0.72101,0.72342,1.17981,0.83375,0.48807,0.54418,0.26804,1.74154,2.01482,1.45005,2.04848e-05,2.04848e-05,2.04848e-05
81,292.342,0.51241,0.50365,0.97375,0.84254,0.47988,0.53434,0.26542,1.77827,2.0563,1.47715,1.98016e-05,1.98016e-05,1.98016e-05
82,295.842,0.80738,0.67131,1.14318,0.84254,0.47988,0.53434,0.26542,1.77827,2.0563,1.47715,1.90949e-05,1.90949e-05,1.90949e-05
